"Inflector","0.11.4"
"cuda-bindings","0.3.0"
"cuda-core","0.3.0"
"cudaforge","0.1.6"
"cudarc","0.17.8"
"cudarc","0.19.9"
"cutile","0.3.0"
"cutile-compiler","0.3.0"
"cutile-ir","0.3.0"
"cutile-macro","0.3.0"
"darling","0.11.0"
"darling","0.20.11"
"darling","0.23.0"
"darling_core","0.11.0"
"darling_core","0.20.11"
"darling_core","0.23.0"
"darling_macro","0.11.0"
"darling_macro","0.20.11"
"darling_macro","0.23.0"
"dary_heap","0.3.8"
"dashmap","6.2.1"
"data-encoding","2.10.0"
"data-url","0.3.2"
"defmac","0.1.3"
"deranged","0.5.5"
"derive-new","0.7.0"
"derive_arbitrary","1.4.2"
"derive_builder","0.20.2"
"derive_builder_core","0.20.2"
"derive_builder_macro","0.20.2"
"derive_more","2.1.1"
"derive_more-impl","2.1.1"
"derivre","0.3.8"
"deunicode","1.6.2"
"digest","0.10.7"
"directories","5.0.1"
"directories","6.0.0"
"dirs","6.0.0"
"dirs-sys","0.4.1"
"dirs-sys","0.5.0"
"dispatch2","0.3.0"
"displaydoc","0.2.5"
"doctest-file","1.0.0"
"document-features","0.2.12"
"dtoa","1.0.11"
"dtoa-short","0.3.5"
"dunce","1.0.5"
"dyn-clone","1.0.20"
"dyn-stack","0.13.2"
"dyn-stack-macros","0.1.3"
"ego-tree","0.10.0"
"either","1.15.0"
"encode_unicode","1.0.0"
"encoding_rs","0.8.35"
"encoding_rs_io","0.1.7"
"endian-type","0.2.0"
"enum-as-inner","0.6.1"
"enumflags2","0.7.12"
"enumflags2_derive","0.7.12"
"env_home","0.1.0"
"equator","0.4.2"
"equator-macro","0.4.2"
"equivalent","1.0.2"
"errno","0.3.14"
"error-code","3.3.2"
"esaxx-rs","0.1.10"
"evmap","11.0.0"
"exr","1.74.0"
"extended","0.1.0"
"eyre","0.6.12"
"fancy-regex","0.13.0"
"fancy-regex","0.14.0"
"fastrand","2.3.0"
"fax","0.2.6"
"fax_derive","0.2.0"
"fd-lock","4.0.4"
"fdeflate","0.3.7"
"filetime","0.2.27"
"find-msvc-tools","0.1.8"
"flate2","1.1.8"
"float8","0.7.0"
"fnv","1.0.7"
"foldhash","0.1.5"
"foldhash","0.2.0"
"foreign-types","0.5.0"
"foreign-types-macros","0.2.3"
"foreign-types-shared","0.3.1"
"form_urlencoded","1.2.2"
"fs2","0.4.3"
"fs_extra","1.3.0"
"futf","0.1.5"
"futures","0.3.31"
"futures-channel","0.3.31"
"futures-core","0.3.31"
"futures-executor","0.3.31"
"futures-io","0.3.31"
"futures-macro","0.3.31"
"futures-sink","0.3.31"
"futures-task","0.3.31"
"futures-util","0.3.31"
"fuzzy-matcher","0.3.7"
"fxhash","0.2.1"
"galil-seiferas","0.1.5"
"gemm","0.18.2"
"gemm","0.19.0"
"gemm-c32","0.18.2"
"gemm-c32","0.19.0"
"gemm-c64","0.18.2"
"gemm-c64","0.19.0"
"gemm-common","0.18.2"
"gemm-common","0.19.0"
"gemm-f16","0.18.2"
"gemm-f16","0.19.0"
"gemm-f32","0.18.2"
"gemm-f32","0.19.0"
"gemm-f64","0.18.2"
"gemm-f64","0.19.0"
"generator","0.8.8"
"generic-array","0.14.7"
"getopts","0.2.24"
"getrandom","0.2.17"
"getrandom","0.3.4"
"getset","0.1.6"
"gif","0.14.1"
"gimli","0.32.3"
"glob","0.3.3"
"h2","0.4.13"
"half","2.7.1"
"hashbag","0.1.13"
"hashbrown","0.12.3"
"hashbrown","0.14.5"
"hashbrown","0.15.5"
"hashbrown","0.16.1"
"heck","0.5.0"
"hermit-abi","0.5.2"
"hex","0.4.3"
"hf-hub","0.4.3"
"home","0.5.12"
"hound","3.5.1"
"html2text","0.16.6"
"html5ever","0.36.1"
"html5ever","0.37.1"
"http","1.4.0"
"http-body","1.0.1"
"http-body-util","0.1.3"
"http-range-header","0.4.2"
"httparse","1.10.1"
"httpdate","1.0.3"
"hyper","1.8.1"
"hyper-rustls","0.27.7"
"hyper-util","0.1.19"
"iana-time-zone","0.1.64"
"iana-time-zone-haiku","0.1.2"
"icu_collections","2.1.1"
"icu_locale_core","2.1.1"
"icu_normalizer","2.1.1"
"icu_normalizer_data","2.1.1"
"icu_properties","2.1.2"
"icu_properties_data","2.1.2"
"icu_provider","2.1.1"
"ident_case","1.0.1"
"idna","1.1.0"
"idna_adapter","1.2.1"
"image","0.25.9"
"image-webp","0.2.4"
"imgref","1.12.0"
"include_dir","0.7.4"
"include_dir_macros","0.7.4"
"indenter","0.3.4"
"indexmap","1.9.3"
"indexmap","2.13.0"
"indicatif","0.17.11"
"indicatif","0.18.3"
"indoc","2.0.7"
"intel-mkl-src","0.8.1"
"intel-mkl-tool","0.8.1"
"interpolate_name","0.2.4"
"interprocess","2.2.3"
"ipnet","2.11.0"
"iri-string","0.7.10"
"is_terminal_polyfill","1.70.2"
"itertools","0.12.1"
"itertools","0.14.0"
"itoa","1.0.18"
"jni","0.21.1"
"jni-sys","0.3.0"
"jobserver","0.1.34"
"js-sys","0.3.85"
"landlock","0.4.4"
"lazy_static","1.5.0"
"lazycell","1.3.0"
"lebe","0.5.3"
"left-right","0.11.7"
"libc","0.2.186"
"libfuzzer-sys","0.4.10"
"libloading","0.8.9"
"libloading","0.9.0"
"libm","0.2.15"
"libmimalloc-sys","0.1.49"
"libredox","0.1.12"
"linkme","0.3.36"
"linkme-impl","0.3.36"
"linux-raw-sys","0.4.15"
"linux-raw-sys","0.11.0"
"litemap","0.8.1"
"litrs","1.0.0"
"llguidance","1.4.0"
"lock_api","0.4.14"
"log","0.4.29"
"loom","0.7.2"
"loop9","0.1.5"
"lrtable","0.14.1"
"lru-slab","0.1.2"
"mac","0.1.1"
"macro_rules_attribute","0.2.2"
"macro_rules_attribute-proc_macro","0.2.2"
"malloc_buf","0.0.6"
"markup5ever","0.36.1"
"markup5ever","0.37.1"
"matchers","0.2.0"
"matchit","0.8.4"
"matrixmultiply","0.3.10"
"maybe-rayon","0.1.1"
"memchr","2.7.6"
"memmap2","0.9.9"
"memoffset","0.9.1"
"metal","0.29.0"
"metrics","0.24.6"
"metrics-exporter-prometheus","0.18.3"
"metrics-util","0.20.4"
"mimalloc","0.1.52"
"mime","0.3.17"
"mime_guess","2.0.5"
"minijinja","2.14.0"
"minijinja-contrib","2.14.0"
"minimal-lexical","0.2.1"
"miniz_oxide","0.8.9"
"mio","0.8.11"
"mio","1.1.1"
"mistralrs","0.9.3"
"mistralrs-audio","0.9.3"
"mistralrs-cli","0.9.3"
"mistralrs-code-exec","0.9.3"
"mistralrs-core","0.9.3"
"mistralrs-flash-attn","0.9.3"
"mistralrs-macros","0.9.3"
"mistralrs-mcp","0.9.3"
"mistralrs-metal-compile","0.9.3"
"mistralrs-paged-attn","0.9.3"
"mistralrs-pyo3","0.9.3"
"mistralrs-quant","0.9.3"
"mistralrs-sandbox","0.9.3"
"mistralrs-server-core","0.9.3"
"mistralrs-vision","0.9.3"
"monostate","0.1.18"
"monostate-impl","0.1.18"
"moxcms","0.7.11"
"multer","3.1.0"
"nalgebra","0.33.2"
"new_debug_unreachable","1.0.6"
"nibble_vec","0.1.0"
"nix","0.29.0"
"nix","0.30.1"
"nix","0.31.3"
"nohash-hasher","0.2.0"
"nom","7.1.3"
"nom","8.0.0"
"noop_proc_macro","0.3.0"
"ntapi","0.4.2"
"nu-ansi-term","0.50.3"
"num","0.4.3"
"num-bigint","0.4.6"
"num-complex","0.4.6"
"num-conv","0.2.0"
"num-derive","0.4.2"
"num-integer","0.1.46"
"num-iter","0.1.45"
"num-rational","0.4.2"
"num-traits","0.2.19"
"num_cpus","1.17.0"
"number_prefix","0.4.0"
"objc","0.2.7"
"objc2","0.6.3"
"objc2-core-foundation","0.3.2"
"objc2-encode","4.1.0"
"objc2-foundation","0.3.2"
"objc2-io-kit","0.3.2"
"objc2-metal","0.3.2"
"object","0.37.3"
"oci-spec","0.6.7"
"ocipkg","0.2.9"
"once_cell","1.21.4"
"once_cell_polyfill","1.70.2"
"onig","6.5.1"
"onig_sys","69.9.1"
"openai-harmony","0.0.8"
"openssl-probe","0.2.1"
"option-ext","0.2.0"
"ordered-float","5.1.0"
"packedvec","1.2.5"
"parking_lot","0.12.5"
"parking_lot_core","0.9.12"
"paste","1.0.15"
"pastey","0.1.1"
"percent-encoding","2.3.2"
"phf","0.11.3"
"phf","0.12.1"
"phf","0.13.1"
"phf_codegen","0.13.1"
"phf_generator","0.11.3"
"phf_generator","0.13.1"
"phf_macros","0.11.3"
"phf_macros","0.13.1"
"phf_shared","0.11.3"
"phf_shared","0.12.1"
"phf_shared","0.13.1"
"pin-project-lite","0.2.16"
"pin-utils","0.1.0"
"pkg-config","0.3.32"
"png","0.18.0"
"portable-atomic","1.13.0"
"potential_utf","0.1.4"
"powerfmt","0.2.0"
"ppv-lite86","0.2.21"
"precomputed-hash","0.1.1"
"prettyplease","0.2.37"
"primal-check","0.3.4"
"proc-macro-error-attr2","2.0.0"
"proc-macro-error2","2.0.1"
"proc-macro2","1.0.106"
"profiling","1.0.17"
"profiling-procmacros","1.0.17"
"psm","0.1.31"
"pulp","0.21.5"
"pulp","0.22.2"
"pulp-wasm-simd-flag","0.1.0"
"pxfm","0.1.27"
"pyo3","0.25.1"
"pyo3-build-config","0.25.1"
"pyo3-ffi","0.25.1"
"pyo3-macros","0.25.1"
"pyo3-macros-backend","0.25.1"
"qoi","0.4.1"
"quanta","0.12.6"
"quick-error","2.0.1"
"quinn","0.11.9"
"quinn-proto","0.11.14"
"quinn-udp","0.5.14"
"quote","1.0.44"
"r-efi","5.3.0"
"radix_trie","0.3.0"
"rand","0.8.5"
"rand","0.9.4"
"rand_chacha","0.3.1"
"rand_chacha","0.9.0"
"rand_core","0.6.4"
"rand_core","0.9.5"
"rand_distr","0.4.3"
"rand_distr","0.5.1"
"rand_isaac","0.4.0"
"rand_xoshiro","0.7.0"
"rapidhash","4.4.1"
"rav1e","0.8.1"
"ravif","0.12.0"
"raw-cpuid","11.6.0"
"rawpointer","0.2.1"
"rayon","1.11.0"
"rayon-cond","0.4.0"
"rayon-core","1.13.0"
"realfft","3.5.0"
"reborrow","0.5.5"
"recvmsg","1.0.0"
"redox_syscall","0.5.18"
"redox_syscall","0.7.0"
"redox_users","0.4.6"
"redox_users","0.5.2"
"ref-cast","1.0.25"
"ref-cast-impl","1.0.25"
"regex","1.12.2"
"regex-automata","0.4.13"
"regex-syntax","0.8.8"
"reqwest","0.12.28"
"reqwest","0.13.1"
"rgb","0.8.52"
"ring","0.17.14"
"rubato","0.16.2"
"rust-embed","8.11.0"
"rust-embed-impl","8.11.0"
"rust-embed-utils","8.11.0"
"rust-mcp-schema","0.9.5"
"rust-stemmers","1.2.0"
"rust_decimal","1.40.0"
"rustc-demangle","0.1.27"
"rustc-hash","1.1.0"
"rustc-hash","2.1.1"
"rustc_version","0.4.1"
"rustfft","6.4.1"
"rustix","0.38.44"
"rustix","1.1.3"
"rustls","0.23.36"
"rustls-native-certs","0.8.3"
"rustls-pki-types","1.14.0"
"rustls-platform-verifier","0.6.2"
"rustls-platform-verifier-android","0.1.1"
"rustls-webpki","0.103.13"
"rustversion","1.0.22"
"rustyline","15.0.0"
"ryu","1.0.22"
"safe_arch","0.7.4"
"safetensors","0.4.5"
"safetensors","0.8.0"
"same-file","1.0.6"
"saphyr-parser-bw","0.0.605"
"schannel","0.1.28"
"schemars","0.9.0"
"schemars","1.2.0"
"schemars_derive","1.2.0"
"scoped-tls","1.0.1"
"scopeguard","1.2.0"
"scraper","0.25.0"
"seccompiler","0.5.0"
"security-framework","3.5.1"
"security-framework-sys","2.15.0"
"selectors","0.33.0"
"semver","1.0.27"
"seq-macro","0.3.6"
"serde","1.0.228"
"serde-big-array","0.5.1"
"serde-saphyr","0.0.16"
"serde_core","1.0.228"
"serde_derive","1.0.228"
"serde_derive_internals","0.29.1"
"serde_json","1.0.149"
"serde_path_to_error","0.1.20"
"serde_plain","1.0.2"
"serde_spanned","0.6.9"
"serde_spanned","1.0.4"
"serde_urlencoded","0.7.1"
"serde_with","3.21.0"
"serde_with_macros","3.21.0"
"servo_arc","0.4.3"
"sha1","0.10.6"
"sha2","0.10.9"
"sharded-slab","0.1.7"
"shlex","1.3.0"
"signal-hook","0.3.18"
"signal-hook-mio","0.2.5"
"signal-hook-registry","1.4.8"
"simba","0.9.1"
"simd-adler32","0.3.8"
"simd_helpers","0.1.0"
"siphasher","1.0.1"
"sketches-ddsketch","0.3.1"
"slab","0.4.11"
"smallvec","1.15.1"
"smallvec","2.0.0-alpha.12"
"socket2","0.6.2"
"socks","0.3.4"
"sparsevec","0.2.2"
"spin","0.9.8"
"spm_precompiled","0.1.4"
"stable_deref_trait","1.2.1"
"stacker","0.1.24"
"static_assertions","1.1.0"
"statrs","0.18.0"
"stop-words","0.9.0"
"strength_reduce","0.2.4"
"string_cache","0.9.0"
"string_cache_codegen","0.6.1"
"strsim","0.10.0"
"strsim","0.11.1"
"strum","0.26.3"
"strum","0.27.2"
"strum_macros","0.26.4"
"strum_macros","0.27.2"
"subtle","2.6.1"
"symphonia","0.5.5"
"symphonia-bundle-flac","0.5.5"
"symphonia-bundle-mp3","0.5.5"
"symphonia-codec-pcm","0.5.5"
"symphonia-codec-vorbis","0.5.5"
"symphonia-core","0.5.5"
"symphonia-format-isomp4","0.5.5"
"symphonia-format-ogg","0.5.5"
"symphonia-format-riff","0.5.5"
"symphonia-metadata","0.5.5"
"symphonia-utils-xiph","0.5.5"
"syn","1.0.109"
"syn","2.0.114"
"sync_wrapper","1.0.2"
"synstructure","0.13.2"
"sysctl","0.6.0"
"sysinfo","0.36.1"
"system-configuration","0.6.1"
"system-configuration-sys","0.6.0"
"tar","0.4.45"
"target-lexicon","0.13.4"
"tempfile","3.25.0"
"tendril","0.4.3"
"tendril","0.5.0"
"terminal_size","0.4.3"
"thiserror","1.0.69"
"thiserror","2.0.18"
"thiserror-impl","1.0.69"
"thiserror-impl","2.0.18"
"thread_local","1.1.9"
"tiff","0.10.3"
"time","0.3.47"
"time-core","0.1.8"
"time-macros","0.2.27"
"tinystr","0.8.2"
"tinyvec","1.10.0"
"tinyvec_macros","0.1.1"
"tokenizers","0.21.4"
"tokenizers","0.22.2"
"tokio","1.49.0"
"tokio-macros","2.6.0"
"tokio-rayon","2.1.0"
"tokio-rustls","0.26.4"
"tokio-stream","0.1.18"
"tokio-test","0.4.5"
"tokio-tungstenite","0.28.0"
"tokio-util","0.7.18"
"toktrie","1.4.0"
"toktrie_hf_tokenizers","1.4.0"
"toml","0.8.23"
"toml","0.9.11+spec-1.1.0"
"toml_datetime","0.6.11"
"toml_datetime","0.7.5+spec-1.1.0"
"toml_edit","0.22.27"
"toml_parser","1.0.6+spec-1.1.0"
"toml_write","0.1.2"
"toml_writer","1.0.6+spec-1.1.0"
"tower","0.5.3"
"tower-http","0.6.8"
"tower-layer","0.3.3"
"tower-service","0.3.3"
"tqdm","0.8.0"
"tracing","0.1.44"
"tracing-attributes","0.1.31"
"tracing-core","0.1.36"
"tracing-log","0.2.0"
"tracing-subscriber","0.3.22"
"transpose","0.2.3"
"try-lock","0.2.5"
"tungstenite","0.28.0"
"typed-path","0.12.1"
"typenum","1.19.0"
"ug","0.5.0"
"ug-cuda","0.5.0"
"ug-metal","0.5.0"
"unchecked-index","0.2.2"
"unicase","2.9.0"
"unicode-ident","1.0.22"
"unicode-normalization-alignments","0.1.12"
"unicode-segmentation","1.12.0"
"unicode-width","0.2.2"
"unicode_categories","0.1.1"
"unindent","0.2.4"
"unit-prefix","0.5.2"
"untrusted","0.9.0"
"ureq","2.12.1"
"url","2.5.8"
"urlencoding","2.1.3"
"utf-8","0.7.6"
"utf8_iter","1.0.4"
"utf8parse","0.2.2"
"utoipa","5.4.0"
"utoipa-gen","5.4.0"
"utoipa-swagger-ui","9.0.2"
"utoipa-swagger-ui-vendored","0.1.2"
"uuid","0.8.2"
"uuid","1.19.0"
"v_frame","0.3.9"
"valuable","0.1.1"
"variantly","0.4.0"
"version_check","0.9.5"
"vob","3.0.6"
"walkdir","2.5.0"
"want","0.3.1"
"wasi","0.11.1+wasi-snapshot-preview1"
"wasip2","1.0.2+wasi-0.2.9"
"wasm-bindgen","0.2.108"
"wasm-bindgen-futures","0.4.58"
"wasm-bindgen-macro","0.2.108"
"wasm-bindgen-macro-support","0.2.108"
"wasm-bindgen-shared","0.2.108"
"wasm-streams","0.4.2"
"web-sys","0.3.85"
"web-time","1.1.0"
"web_atoms","0.2.3"
"webpki-root-certs","1.0.5"
"webpki-roots","0.26.11"
"webpki-roots","1.0.5"
"weezl","0.1.12"
"which","4.4.2"
"which","7.0.3"
"wide","0.7.33"
"widestring","1.2.1"
"winapi","0.3.9"
"winapi-i686-pc-windows-gnu","0.4.0"
"winapi-util","0.1.11"
"winapi-x86_64-pc-windows-gnu","0.4.0"
"windows","0.61.3"
"windows-collections","0.2.0"
"windows-core","0.61.2"
"windows-future","0.2.1"
"windows-implement","0.60.2"
"windows-interface","0.59.3"
"windows-link","0.1.3"
"windows-link","0.2.1"
"windows-numerics","0.2.0"
"windows-registry","0.6.1"
"windows-result","0.3.4"
"windows-result","0.4.1"
"windows-strings","0.4.2"
"windows-strings","0.5.1"
"windows-sys","0.45.0"
"windows-sys","0.48.0"
"windows-sys","0.52.0"
"windows-sys","0.59.0"
"windows-sys","0.60.2"
"windows-sys","0.61.2"
"windows-targets","0.42.2"
"windows-targets","0.48.5"
"windows-targets","0.52.6"
"windows-targets","0.53.5"
"windows-threading","0.1.0"
"windows_aarch64_gnullvm","0.42.2"
"windows_aarch64_gnullvm","0.48.5"
"windows_aarch64_gnullvm","0.52.6"
"windows_aarch64_gnullvm","0.53.1"
"windows_aarch64_msvc","0.42.2"
"windows_aarch64_msvc","0.48.5"
"windows_aarch64_msvc","0.52.6"
"windows_aarch64_msvc","0.53.1"
"windows_i686_gnu","0.42.2"
"windows_i686_gnu","0.48.5"
"windows_i686_gnu","0.52.6"
"windows_i686_gnu","0.53.1"
"windows_i686_gnullvm","0.52.6"
"windows_i686_gnullvm","0.53.1"
"windows_i686_msvc","0.42.2"
"windows_i686_msvc","0.48.5"
"windows_i686_msvc","0.52.6"
"windows_i686_msvc","0.53.1"
"windows_x86_64_gnu","0.42.2"
"windows_x86_64_gnu","0.48.5"
"windows_x86_64_gnu","0.52.6"
"windows_x86_64_gnu","0.53.1"
"windows_x86_64_gnullvm","0.42.2"
"windows_x86_64_gnullvm","0.48.5"
"windows_x86_64_gnullvm","0.52.6"
"windows_x86_64_gnullvm","0.53.1"
"windows_x86_64_msvc","0.42.2"
"windows_x86_64_msvc","0.48.5"
"windows_x86_64_msvc","0.52.6"
"windows_x86_64_msvc","0.53.1"
"winnow","0.7.14"
"winsafe","0.0.19"
"wit-bindgen","0.51.0"
"writeable","0.6.2"
"xattr","1.6.1"
"y4m","0.8.0"
"yoke","0.7.5"
"yoke","0.8.1"
"yoke-derive","0.7.5"
"yoke-derive","0.8.1"
"zerocopy","0.8.33"
"zerocopy-derive","0.8.33"
"zerofrom","0.1.6"
"zerofrom-derive","0.1.6"
"zeroize","1.8.2"
"zerotrie","0.2.3"
"zerovec","0.11.5"
"zerovec-derive","0.11.2"
"zip","2.4.2"
"zip","3.0.0"
"zip","8.6.0"
"zlib-rs","0.5.5"
"zmij","1.0.16"
"zopfli","0.8.3"
"zune-core","0.4.12"
"zune-core","0.5.1"
"zune-inflate","0.2.54"
"zune-jpeg","0.4.21"
"zune-jpeg","0.5.11"
